ServiceStationID,ServiceStationName,Address,Suburb,Postcode,Longitude,Latitude
1011,Caltex Cessnock,"105 Wollombi Rd, CESSNOCK NSW 2325",CESSNOCK,2325.0,151.1529523,-32.9083057
1012,Ampol Woolworths Swansea,"126 Pacific Hwy, SWANSEA NSW 2281",SWANSEA,2281.0,151.6396293,-33.0859981
1013,Ampol Hamilton,"59-63 Tudor Street, HAMILTON NSW 2303",HAMILTON,2303.0,151.751198,-32.924661
1014,Metro Warners Bay,"1 Warners Bay Rd, WARNERS BAY NSW 2282",WARNERS BAY,2282.0,151.6543949,-32.9833462
1015,Speedway Mt Pritchard,"348 Elizabeth Dr, MOUNT PRITCHARD NSW 2170",MOUNT PRITCHARD,2170.0,150.8966284,-33.9032888
1016,Speedway Meadows,"359 Elizabeth Drive, Mount Pritchard NSW 2170",Mount Pritchard,2170.0,150.9012546,-33.9109448
1017,Speedway Green Valley,"182 Green Valley Rd, Green Valley NSW 2168",Green Valley,2168.0,150.8758133,-33.9036691
1018,BOBBIN HEAD PETROL STATION,"313 Bobbin Head Road, NORTH TURRAMURRA NSW 2074",NORTH TURRAMURRA,2074.0,151.1426356,-33.7205973
1020,7-Eleven Belmont North,"378 Pacific Highway, Belmont North NSW 2280",Belmont North,2280.0,151.6621477,-33.0255517
1021,Caltex Woolworths Lake Cathie,"1609 Ocean Drive, Lake Cathie NSW 2445",Lake Cathie,2445.0,152.8491716,-31.5600517
1022,BP Kurmond,"501-509 Bells Line Of Road, Kurmond NSW 2757",Kurmond,2757.0,150.7030008,-33.5625551
1023,Budget Campsie,"403 Canterbury Road, Campsie NSW 2194",Campsie,2194.0,151.0973577,-33.9211483
1024,Coles Express Kotara,"93 Park Avenue, Kotara NSW 2289",Kotara,2289.0,151.6859739,-32.9465132
1025,BUDGET PETROL BEXLEY ROAD CAMPSIE,"65 Bexley Rd, Campsie NSW 2194",Campsie,2194.0,151.1044987,-33.9183111
1027,BP Moama,"49/51 Meninya St, Moama NSW 2731",Moama,2731.0,144.75490025648872,-36.1111463
1029,Caltex Orange Diesel Stop,"91 Elsham Avenue, ORANGE NSW 2800",ORANGE,2800.0,149.1070827,-33.3034458
1030,BP Kelso,"63 Sydney Road, Kelso NSW 2795",Kelso,2795.0,149.6380153,-33.4216552
1031,BP Orange (Bathurst Road),"56-60 Bathurst Road, Orange NSW 2800",Orange,2800.0,149.108285,-33.288754
1032,BP Balgowlah,"485 Sydney Road, Balgowlah NSW 2093",Balgowlah,2093.0,151.2583097,-33.7945465
1033,BP Raglan,"39 Sydney Road, Raglan NSW 2795",Raglan,2795.0,149.6493056,-33.4220898
1034,7-Eleven Edgeworth,"745 Main Rd, EDGEWORTH NSW 2285",EDGEWORTH,2285.0,151.6077571,-32.9227791
1035,Caltex Yass,"228 Comur Street, YASS NSW 2582",YASS,2582.0,148.9140079,-34.8446357
1036,Caltex Narrabri,"31 Dangar St, NARRABRI NSW 2390",NARRABRI,2390.0,149.7825932,-30.3263164
1037,Caltex Orange,"70- 74 Summer Street, ORANGE NSW 2800",ORANGE,2800.0,149.0870556,-33.281708
1038,Ampol Moree,"54 Alice St, MOREE NSW 2400",MOREE,2400.0,149.842911,-29.4713154
1039,Ampol Nabiac,"3964 Wallanbah Road, NABIAC NSW 2312",NABIAC,2312.0,152.3438864,-32.0944255
1040,Caltex Casino Centre Street,"96 CENTRE ST, CASINO NSW 2470",CASINO,2470.0,153.0452521,-28.8661491
1041,METRO WARILLA,"230 SHELLHARBOUR RD, WARILLA NSW 2528",WARILLA,2528.0,150.8600315,-34.5525653
1042,Shell Finley,"16-20 MURRAY ST, FINLEY NSW 2713",FINLEY,2713.0,145.5794822,-35.6388354
1043,BP Hamilton South,"67 Stewart Ave, HAMILTON SOUTH NSW 2303",HAMILTON SOUTH,2303.0,151.752825,-32.9321305
1044,Caltex Macksville,"22 COOPER ST, MACKSVILLE NSW 2447",MACKSVILLE,2447.0,152.9198773,-30.7097815
1046,Independent Rainbow Flat,"Godfrey Hill Road, Rainbow Flat NSW 2430",Rainbow Flat,2430.0,152.4698854,-31.9998757
1047,BP Bennetts Green,"20 PACIFIC HWY, BENNETTS GREEN NSW 2290",BENNETTS GREEN,2290.0,151.68775,-32.9926959
1049,7-Eleven Wallsend,"15 Minmi Road, Wallsend NSW 2287",Wallsend,2287.0,151.6594428,-32.8888369
1050,Coles Express Moree,"Balo St & Gwydir St, Moree NSW 2400",Moree,2400.0,149.84158,-29.459383
1052,Coles Express Toronto,"133-137 Cary St, Toronto NSW 2283",Toronto,2283.0,151.5931953,-33.0126912
1053,7-Eleven Gateshead,"13-15 Pacific Highway, GATESHEAD NSW 2290",GATESHEAD,2290.0,151.6919861,-32.9790406
1054,BP Whitebridge,"170 Dudley Road, Whitebridge NSW 2290",Whitebridge,2290.0,151.7078594,-32.977916
1055,Tamarang Servicentre,"115 Station Street, Quirindi NSW 2343",Quirindi,2343.0,150.6805131,-31.5044828
1056,Caltex Woolworths Moree,"215 Balo Street, Moree NSW 2400",Moree,2400.0,149.8416467,-29.4676933
1057,Metro Punchbowl,"998 Punchbowl Road, PUNCHBOWL NSW 2196",PUNCHBOWL,2196.0,151.0564137,-33.9244643
1058,BP Valentine,"855 Macquarie Drive, Valentine NSW 2280",Valentine,2280.0,151.6431292,-33.0083358
1060,Caltex Woolworths Charlestown,"93 Pacific Highway, Charlestown NSW 2290",Charlestown,2290.0,151.6924802,-32.9690794
1061,Caltex Woolworths Cardiff,"43 Macquarie Road, Cardiff NSW 2285",Cardiff,2285.0,151.6578349368497,-32.941196500000004
1062,Caltex Woolworths Belmont,"397 Pacific Highway, Belmont NSW 2280",Belmont,2280.0,151.66349007860168,-33.0245154
1066,Metro Redhead,"100 Collier Street, Redhead NSW 2290",Redhead,2290.0,151.7106293,-33.0085978
1067,BP Charmhaven,"210, Pacific Highway, Charmhaven NSW 2263",Charmhaven,2263.0,151.5060109,-33.2202826
1068,BP Quirindi,"4 Duke Street, QUIRINDI NSW 2343",QUIRINDI,2343.0,150.6892718,-31.5184779
1069,Metro Petroleum Lakemba,"47 Lakemba Street, Belmore NSW 2192",Belmore,2192.0,151.0895571,-33.9124214
1070,Metro Petroleum Belmore,"442 Punchbowl Rd, BELMORE NSW 2192",BELMORE,2192.0,151.0765444,-33.9078514
1071,Metro Fuel Canterbury,"280 Canterbury Road, Canterbury NSW 2193",Canterbury,2193.0,151.1173292,-33.913291
1072,Metro Highfields,"317A Pacific Hwy, Highfields NSW 2289",Highfields,2289.0,151.7078847,-32.9553174
1073,Metro Fuel Charlestown,"132/138 Pacific Hwy, Charlestown NSW 2290",Charlestown,2290.0,151.6924802,-32.9690794
1074,BP Prestons,"14- Bernera Road, Prestons NSW 2170",Prestons,2170.0,150.8654541,-33.9508828
1075,Caltex Woolworths Morisset,"125 Dora Street, Morisset NSW 2264",Morisset,2264.0,151.4785537,-33.1128509
1076,Medco Windale,"4 Lake Street, Windale NSW 2306",Windale,2306.0,151.687003,-32.9916604
1077,Independent South Murwillumbah,"303 Tweed Valley Way, South Murwillumbah NSW 2484",South Murwillumbah,2484.0,153.4017814,-28.3305981
1079,Andys Garage Bray Park,"46-48 Kyogle Rd, BRAY PARK NSW 2484",BRAY PARK,2484.0,153.3754608,-28.3403555
1081,7-Eleven Morisset,"133 Dora St, MORISSET NSW 2264",MORISSET,2264.0,151.4785537,-33.1128509
1082,B & E Doherty P/L Independent Wauchope,"57 High Street, Wauchope NSW 2446",Wauchope,2446.0,152.7343558,-31.4574462
1083,BP New Lambton,"105 St. James rd., New Lambton NSW 2302",New Lambton,2302.0,151.7204065,-32.9331614
1084,7-Eleven Mayfield,"132 Maitland Road, Mayfield NSW 2304",Mayfield,2304.0,151.7400002,-32.8999468
1085,7-Eleven Wickham,"184-188 Hannell Street, Wickham NSW 2293",Wickham,2293.0,151.7606537,-32.9232386
1086,7-Eleven Glendale,"397 Main Rd, CARDIFF NSW 2285",CARDIFF,2285.0,151.6544741,-32.9331671
1088,7-Eleven Charlestown,"271-273 Charlestown Rd, CHARLESTOWN NSW 2290",CHARLESTOWN,2290.0,151.6857799,-32.9545588
1093,Metro Wakely,"72 Thorney Rd, FAIRFIELD WEST NSW 2165",FAIRFIELD WEST,2165.0,150.92421334734468,-33.87366575
1094,7-Eleven McGraths Hill,"142 Windsor Rd, MCGRATHS HILL NSW 2756",MCGRATHS HILL,2756.0,150.8302325,-33.6115192
